Niccolum Carbonicum
Niccolum Metallicum
Niccolum Sulphuricum
Nicotinum
Nigella Sativa (Black Caraway)
Nitri Spiritus Dulcis
Nuphar Lutea
Nux Moschata
Nux Vomica
Nuxmoschata
Nyctanthes Arbortristis
Nymphaea Odorata
Ocimum Basilicum
Ocimum Canum
Ocimum Sanctum
Oenanthe Crocata
Okoubaka Aubrevillei
Oleander
Oleum Animale
Oleum Morrhuae
Oleum Ricina
Oleum Ricini
Oleum Santali
Onosmodium Virginianum
Opium
Opuntia Vulgaris
Orchitinum 
Origanum Majorana
Origanum Vulgare
Ornithogalum Umbellatum
Osmium Metallicum
Osteo Arthritic Nosode
Ovarinum
Oxydendrum Arboreum
Oxytropis Campestris
Oxyurus Vermicularis
Ozone 
Paeonia Officinalis
Palladium
Pancreatinum
Paraffinum
Parathyroidinum
Paratyphoidinum B
Pareira Brava
Paris Quadrifolia
Parotidinum
Passiflora Incarnata
Penicillinum
Penthorum Sedodies
Pepsinum
Persicaria Acris
Pertussinum
Pestinum
Petroleum
Petroselinum Sativum
Phaseolus Nanus
Phaseolus Vulgaris
Phellandrinum Aquaticum
Phenolphthaleinum
Phosphorus
Phosphorus Rubrum
Phyllanthus Niruri (Bhoomi Amla)
Physalis Alkekengi
Physostigma Venenosum
Phytolacca
Phytolacca Berry
Picrotoxinum
Pilocarpinum Muriaticum
Pilocarpinum Nitricum
Pimpinella Saxifraga
Pinus Lambertiana
Pinus Sylvestris
Piper Methysticum
Piper Nigrum
Piscidia Erythrina
Pituitrine
Pix Liquida
Placenta
Plantago Major
Plantanus Occidentalis
Platinum Metallicum
Platinum Muriaticum
Plumbago Littoralis
Plumbum Aceticum
Plumbum Carbonicum
Plumbum Chromicum
Plumbum Iodatum
Plumbum Metallicum
Podophyllinum
Podophyllum Peltatum
Pollantinum
Polygonum Punctatum
Polygonum Sagittatum
Populus Candicans
Pothos Foetidus
Prednisone
Prostatinum
Proteus Morgani
Prunus Spinosa
Prunus Virginiana
Psoralea Corylifolia
Psorinum
Ptelea Trifolia
Pulsatilla Nigricans
Pyrogenium
Quassia Amara
Quercus Robur
Quillaya Saponaria
R.N.A
Radium Bromatum
Ranunculus Bulbosus
Ranunculus Sceleratus
Raphanus Sativus
Ratanhia
Rauvolfia Serpentina
Renalis Calculi
Renine
Resorcinum
Rhamnus Californica
Rhamnus Catharticus
Rhamnus Frangula
Rheum
Rhododendron Chrysanthum
Rhus Aromatica
Rhus Glabra
Rhus Toxicodendron
Rhus Venenata
Rhustox
Ricinus Communis
Robinia Pseudacacia
Rosa Damascena
Rosemarinus Officinalis
Rosmarinus Officinalis
Rubia Tinctor
Rumex Acetosa
Rumex Crispus
Ruta Graveolens
Sabadilla
Sabal Serrulata
Sabina
Saccharum Lactis
Saccharum Offinale
Saliva Officinalis
Salix Nigra
Salmonella Enteriditis
Salol
Salvia Officinalis
Samarium Oxydatum
Sambucus Canadensis
Sambucus Nigra
Sanguinaria Canadensis
Sanguinarina Nitrica
Sanguinarinum
Sanguisuga Officinalis
Sanicula Europaea
Santoninum
Santoninum 3X
Sarasaparilla
Sarracenia Purpurea
Sarsaparilla
Scopolaminum
Scorpion 
Scrophularia Nodosa
Scutellaria
Secale Cornutum
Sedum Acre
Selenium
Sempervivum Tectorum
Senecio Aurantiacus
Senecio Aureus
Senega
Senna
Sepia
Serum Anguillae
Silica Marina
Silicea
Simarouba Glauca(Simaruba Amara)
Sinapis Alba
Sinapis Nigra
Sol 
Solanum Nigrum
Solanum Xanthocarpus
Solidago Virgaurea
Sparteinum Sulphuricum
Spigelia
Spigelia Marylandica
Spiranthes Autumnalis
Spiritus Quercus Glandium
Spongia Tosta
Squilla
Stannum Iodatum
Stannum Metallicum
Staphylococcinum
Staphysagria
Stellaria Media
Sticta Pulmonaria
Stigmata Maydis
Stilboestrolum
Stillngia Sylvatica
Stramonium
Strepto Coccinum
Streptomycinum
Strontium Carbonicum
Strontium Hydroxide
Strophanthus Hispidus
Strychninum
Strychninum Arsenicicum
Strychninum Nitricum
Strychninum Phosphoricum
Strychninum Valerianicum
Sulfonamide 
Sulphanilamidum
Sulphur
Sulphur Iodatum
Sumbul
Swertia Chirata
Sycoti-Co
Symphoricarpus Racemosus
Symphytum Officinale
Syphilinum
Syzygium Jambolanum
Tabacum
Tamus Communis
Tanacetum Vulgare
Taraxacum
Tarentula Cubensis
Tarentula Hispanica
Taxus Baccata
Tellurium
Terebinthinae Oleum
Terminala Chebula
Terminalia Arjuna
Terminalia Chebula
Terpinum
Teucrium Marum Verum
Thallium Metallicum
Thalllium Arsenicicum
Thaspium Aureum
Thea Chinensis
Theridion
Thiosinaminum
Thlaspi Bursa Pastoris
Thuja Occidentalis
Thymol
Thymus Vulgaris
Thymusine
Thyroidinum
Thyroxinum
Tilia Europaea
Tinospora Cordifolia
Titanium Metalicum 
Tnt 
Tribulus Terrestris
Trichosanthes Dioica
Trifolium Pratense
Trifolium Repens
Trillium
Triticum Repens
Trombidium 
Tuberculinum
Tussilago Farfara
Tylophora Indica
Typhoidinum
Uranium Muriaticum
Uranium Nitricum
Urea
Urtica Dioica
Urtica Urens
Usnea Barbata
Ustilago Maydis
Uva Ursi
Vaccinium Myrtillus
Vaccinotoxinum
Vanadium Metallicum
Variolinum
Veleriana Officinalis
Veratrum Album
Veratrum Viride
Verbascum Thapsus
Verbena Officinalis
Vernonia Anthelmintica
Vespa Crabro
Viburnum Opulus
Viburnum Prunifolium
Vinca Major
Vinca Minor
Vincetoxicum Officinalis
Viola Odorata
Viola Tricolor
Vipera Torva
Viscum Album
Vitis Vinifera
Wiesbaden
Withania Somnifera
Wyethia Heleniodes
X Rays
Xanthoxylum Fraxineum
Xerophyllum Asphodelodies
Yohimbinum
Yucca Filamentosa
Zincum Aceticum
Zincum Bromatum
Zincum Carbonicum
Zincum Cyanatum
Zincum Iodatum
Zincum Metallicum
Zincum Muriaticum
Zincum Oxydatum
Zincum Phosphoratum
Zincum Sulphuricum
Zincum Valerianicum
Zingiber
